,0,1,2
0,cm1,37,23
1,kc1,21,18
2,kc3,39,25
3,mc1,38,34
4,mc2,39,26
5,mw1,37,14
6,pc1,37,34
7,pc2,36,25
8,pc3,37,7
9,pc4,37,24
